8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	3.00029	0.0290616	0	-3.00029	0	0	0
8.4485	0.251375	-0.000718914	-1.29508e-16	-1.73472e-17	8.44818	0.251553	8.45	0.25	3.00027	0.0295772	0	-3.00027	0	0.000275949	0
8.47145	0.248799	-0.00552062	3.13522e-06	3.23828e-07	8.56759	0.241943	8.45	0.25	0	0.0295772	0	0	0	0.000275949	0.125985
8.46434	0.250982	-0.00836542	-2.06035e-05	-2.93927e-06	8.45582	0.253997	8.45	0.25	0	0.0295772	0	0	0	0.00655032	0.125985
8.37654	0.251326	-0.884349	0.00140872	0.000350929	8.42544	0.254042	8.35	0.25	1.81979	0.0299312	0	-1.81979	0	0.00655032	20.1012
8.31286	0.250631	-0.905151	0.00314004	0.000761178	8.23962	0.24916	8.25	0.25	1.81978	0.0302938	0	-1.81978	0	0.351282	20.1012
8.10975	0.234725	-1.29366	0.181759	0.0550652	7.93286	0.188391	8.05	0.2	4.12286	0.0248396	0	-3.99976	-0.99994	0.351282	30.7035
8.01333	0.204438	-1.33874	0.290865	0.0835087	7.84073	0.159858	7.85	0.15	4.12282	0.019106	0	-3.99972	-0.99993	1.927	30.7035
7.82651	0.343599	-1.60984	-1.29322	-0.558002	7.61269	0.155818	7.7	0.15	2.99982	0.0194781	0	-2.99982	0	1.927	19.1754
7.72309	0.285444	-1.66595	-0.606702	-0.295013	7.54016	0.159641	7.55	0.15	2.99982	0.0198649	0	-2.99982	0	3.53651	19.1754
7.58248	0.198079	-1.71736	0.133156	0.107393	7.50815	0.0953827	7.45	0.100001	2.0309	0.0134221	0	-1.8165	-0.908239	3.53651	1.673
7.46326	0.138355	-1.7194	0.262018	0.116075	7.3426	0.0345312	7.35	0.0500011	2.03088	0.00680277	0	-1.81648	-0.90823	1.51085	1.673
7.32052	0.201525	-1.97616	-0.121614	-0.464451	7.20598	0.00492725	7.2	9.49949e-07	2.8761	1.31937e-07	0	-2.72851	-0.909507	1.51085	11.1213
7.18468	0.120073	-1.99612	0.0611546	-0.310718	7.05406	-0.0533413	7.05	-0.0499992	2.87608	-0.00709197	0	-2.72849	-0.909499	3.01956	11.1213
7.07349	0.052467	-1.97185	0.177412	-0.162363	6.74585	-0.143185	6.95	-0.15	2.57243	-0.0215794	0	-1.81898	-1.81898	3.01956	2.88908
6.9517	-0.0827004	-1.99328	0.411745	0.167866	6.84972	-0.258748	6.85	-0.25	2.5724	-0.0364802	0	-1.81896	-1.81897	2.84592	2.88908
6.84201	-0.129475	-2.0326	0.370991	-0.0495216	6.66966	-0.346668	6.75	-0.349999	2.82949	-0.0518053	0	-2.00076	-2.00075	2.84592	2.36477
6.73703	-0.262478	-2.07297	0.540156	0.183157	6.64329	-0.462604	6.65	-0.449999	2.82949	-0.067566	0	-2.00076	-2.00075	3.08803	2.36477
6.69065	-0.442421	-2.0768	0.921739	1.01426	6.60862	-0.557035	6.6	-0.549999	2.23348	-0.0831411	0	-0.998836	-1.99769	3.08803	4.30146
6.62329	-0.556071	-2.10023	1.01192	1.04988	6.56029	-0.650892	6.55	-0.65	2.23348	-0.0989128	0	-0.99884	-1.99769	0.727986	4.30146
6.58651	-0.712235	-2.13585	1.23014	1.37323	6.40696	-0.842921	6.5	-0.85	3.74685	-0.130031	0	-0.908747	-3.63498	0.727986	1.67095
6.54021	-0.863571	-2.16973	1.32602	1.34464	6.45805	-1.05268	6.45	-1.05	3.74681	-0.161375	0	-0.908739	-3.63494	2.26997	1.67095
6.42839	-0.939919	-2.12238	1.0956	0.656175	6.38626	-1.15695	6.35	-1.15	2.57242	-0.179161	0	-1.81897	-1.81898	2.26997	8.24055
6.35784	-1.07458	-2.15577	1.12712	0.606095	6.25499	-1.25007	6.25	-1.25	2.5724	-0.197396	0	-1.81896	-1.81896	2.16603	8.24055
6.47061	-1.2797	-2.23545	1.62334	1.51199	6.43125	-1.48148	6.3	-1.45	3.75093	-0.226219	0	0.909739	-3.63894	2.16603	31.8743
6.46179	-1.43669	-2.27282	1.69693	1.46092	6.36328	-1.65656	6.35	-1.65	3.7509	-0.254221	0	0.909727	-3.63891	3.01428	31.8743
